3,130
3,142
4,142
5,168
6,188
7,161
8,194
9,196
9,202
10,160
10,216
11,177
11,200
11,181
12,181
12,194
13,174
13,214
14,191
14,227
15,194
15,232
16,198
16,234
16,192
17,164
17,196
17,177
17,165
18,202
18,202
18,162
19,144
19,178
19,138
20,137
20,174
20,144
21,130
21,189
21,148
21,120
22,120
22,183
22,135
23,126
23,172
23,149
24,121
24,152
24,128
24,109
25,91
25,122
25,92
25,86
26,86
26,132
26,102
27,95
27,113
28,105
28,125
28,113
29,93
29,101
30,87
30,111
30,111
31,92
31,117
32,92
32,122
33,100
33,110
34,98
34,106
35,96
35,119
35,108
36,86
36,148
36,130
36,130
37,117
37,186
37,172
38,156
38,194
38,184
39,161
39,212
39,196
39,182
40,221
40,206
40,210
41,210
41,267
41,240
42,204
42,260
42,227
43,227
43,258
43,237
44,222
44,246
44,219
45,214
45,273
45,241
45,232
46,234
46,275
46,246
46,246
47,247
47,282
47,273
46,272
47,252
47,325
47,310
47,308
47,299
48,281
48,342
48,326
48,314
48,301
49,356
49,356
49,339
48,339
48,334
48,348
48,331
48,323
48,315
49,311
49,362
49,344
49,346
48,324
48,324
49,365
49,344
49,332
48,312
48,312
48,303
49,290
49,310
49,290
49,278
49,273
49,285
49,257
49,240
48,223
49,243
49,219
49,222
49,206
50,206
50,258
50,246
49,229
50,196
50,231
50,204
50,180
50,173
51,162
51,198
51,166
50,154
50,154
51,204
51,169
51,157
51,157
52,146
52,192
52,163
52,153
53,118
53,161
53,153
54,138
54,159
54,123
54,110
54,91
55,118
55,101
55,92
55,77
56,110
56,94
56,94
56,80
57,75
57,113
57,87
57,88
58,79
58,122
58,98
58,100
59,83
59,111
59,103
59,96
60,83
60,123
60,110
60,112
60,101
61,101
61,147
61,144
61,134
61,117
61,117
62,101
62,162
62,149
62,129
63,120
63,170
63,158
63,150
63,150
63,143
64,131
64,194
64,176
64,171
65,145
65,199
65,176
66,160
66,227
66,179
67,159
67,204
67,183
67,183
68,244
68,226
69,202
69,249
69,229
69,229
70,193
70,267
70,239
71,217
71,294
71,255
72,261
72,328
